,Time for HR (s),HR (BPM),Avg HR (BPM)
494,378.456,78.12500000000283,79.66421200049643
495,379.224,78.12499999999704,79.76196371115125
496,379.992,79.78723404255217,79.7784110795724
497,380.744,85.22727272727867,79.73294734952592
498,381.448,83.33333333333017,79.59351334828649
499,382.168,85.2272727272718,79.56227311086053
500,382.872,84.2696629213496,79.47036134615476
501,383.584,84.2696629213496,79.28602954891971
502,384.296,72.81553398058144,79.20017790056804
503,385.12,76.53061224489876,79.27912526898912
504,385.904,78.94736842105358,79.29592258141909
505,386.664,76.53061224489876,79.45070359494812
506,387.448,79.78723404255217,79.52319362756872
507,388.2,78.12499999999704,79.67470877908376
508,388.968,77.31958762886494,79.63766716900852
509,389.744,79.78723404255821,79.62050862405306
510,390.496,76.53061224489876,79.45026688077763
511,391.28,75.75757575757288,79.32999196668833
512,392.072,74.25742574257492,79.14459870826131
513,392.88,78.12499999999704,79.0316954824549
514,393.648,81.52173913043589,78.94204690487906
515,394.384,80.64516129032569,78.92593865745631
516,395.128,85.2272727272718,78.87553543164987
517,395.832,85.2272727272718,78.85873811921977
518,396.536,83.33333333333675,78.98389456477675
519,397.256,80.64516129031952,79.06284193319783
520,398.0,78.94736842105358,78.97093016849195
521,398.76,74.25742574257492,78.97093016849195
522,399.568,72.81553398058144,78.93768548764098
523,400.392,75.75757575757288,78.68945071270701
524,401.184,73.52941176470821,78.5533962909384
525,402.0,71.42857142857356,78.34885083639293
526,402.84,78.12499999999704,78.13404581326012
527,403.608,78.94736842105358,78.02759992325417
528,404.368,79.78723404255217,78.18419246944894
529,405.12,84.2696629213496,78.24932490540202
530,405.832,84.2696629213496,78.26612221783198
531,406.544,83.33333333333017,78.34841319874052
532,407.264,82.41758241758144,78.36557174369587
533,407.992,79.78723404255217,78.3988164245471
534,408.744,75.75757575757832,78.48285945457839
535,409.536,77.31958762886494,78.51754955633595
536,410.312,74.99999999999893,78.59984053724448
537,411.112,75.00000000000426,78.69759224789942
538,411.912,79.78723404255217,78.80818841389896
539,412.664,77.31958762886494,78.85859163970552
540,413.44,78.12499999999704,78.89482352376342
541,414.208,78.94736842105358,78.93027194630854
542,414.968,79.78723404255217,78.85616127437181
543,415.72,78.94736842105358,78.79996746817801
544,416.48,73.52941176470821,78.76373558412
545,417.296,78.12499999999704,78.71333235831365
546,418.064,78.12500000000283,78.61953350474408
547,418.832,72.81553398058144,78.63438498989257
548,419.656,76.53061224489876,78.67807431028092
549,420.44,74.99999999999893,78.66292279512943
550,421.24,73.52941176470821,78.66292279512943
551,422.056,78.94736842105358,78.76496361145594
552,422.816,80.64516129031952,78.79820829230704
553,423.56,79.78723404255217,78.83216414969236
554,424.312,79.78723404255217,78.90308613550806
555,425.064,80.64516129032569,78.86604452543268
556,425.808,80.64516129031952,78.82900291535732
557,426.552,79.78723404255821,78.81068789704236
558,427.304,81.5217391304296,78.74128361711179
559,428.04,81.52173913043589,78.69193068883804
560,428.776,80.64516129032569,78.69193068883804
561,429.52,80.64516129031952,78.63068745111225
562,430.264,79.78723404255217,78.64583896626372
563,431.016,80.64516129032569,78.7083389662637
564,431.76,83.33333333333017,78.7083389662637
565,432.48,82.41758241758144,78.828613880353
566,433.208,81.52173913043589,78.99025181138762
567,433.944,82.41758241758144,79.15549048947821
568,434.672,81.52173913043589,79.3244516909801
569,435.408,78.12500000000283,79.46964225359343
570,436.176,74.25742574257492,79.62948880090798
571,436.984,74.99999999999893,79.66273348175909
572,437.784,74.99999999999893,79.66273348175909
573,438.584,74.99999999999893,79.70642280214743
574,439.384,73.52941176470821,79.67581055724945
575,440.2,76.53061224489876,79.67581055724945
576,440.984,79.78723404255217,79.69037083680678
577,441.736,80.64516129031952,79.67392346838575
578,442.48,83.33333333333675,79.63996761100044
579,443.2,82.41758241758144,79.5906146827267
580,443.928,82.41758241758144,79.57381737029672
581,444.656,82.41758241758144,79.53986151291116
582,445.384,78.94736842105358,79.44210980225634
583,446.144,77.31958762886494,79.28867281371288
584,446.92,75.75757575757832,79.11454871071592
585,447.712,74.25742574257492,78.87300281699612
586,448.52,75.75757575757288,78.63624638018041
587,449.312,78.12500000000283,78.42521231325254
588,450.08,79.78723404255217,78.30005586769556
589,450.832,83.33333333333017,78.20230415704061
590,451.552,86.20689655172791,78.09813749037394
591,452.248,87.2093023255829,78.02873321044339
592,452.936,88.23529411764618,78.02873321044339
593,453.616,86.20689655172087,77.99328478789828
594,454.312,81.52173913043589,77.9417973737105
595,455.048,79.78723404255217,77.8498856090046
596,455.8,78.12500000000283,77.76660625303163
597,456.568,74.99999999999893,77.59403988135024
598,457.368,74.99999999999893,77.45767624498663
599,458.168,74.99999999999893,77.30902759633797
600,458.968,74.25742574257492,77.20207572468016
